,E8-1,I8-2,S6-3,S5-4,E2-5,E5-6,E6-7,E7-8,C5-9,I11-10,G1-11,M7-12,M10-13,M11-14,M3-15,M4-16,M1-17,M2-18,M5-19,M6-20,M8-21,M9-22,I10-23,A5-24,S15-25,S1-26,C2-27,C1-28,G2-29,E9-30,E10-31,E8-32,I8-33,S6-34,S5-35,E2-36,E5-37,E6-38,E7-39,C5-40,I11-41,G1-42,M7-43,M10-44,M11-45,M3-46,M4-47,M1-48,M2-49,M5-50,M6-51,M8-52,M9-53,I1054,A5-55,S15-56,S1-57,C2-58,C1-59,G2-60,E9-61,E10-62,E8-63,I8-64,S6-65,S5-66,E5-68,E6-69,E7-70,C5-71,I11-72,M7-73,M10-74,M11-75,M3-76,M4-77,M1-78,M2-79,M5-80,M6-81,M8-82,M9-83,I10-84,A5-85,S15-86,S1-87,C2-88,C1-89,E10-90,E61-E71,E73/E51,A51/M23,Tm-91,S-92,H-93,C-94,G-95,Tm-96,S-97,H-98,C-99,G-100,Tm-101,S-102,H-103,C-104,G-105,target
0,2.55,190.0,1.25,2.7,1.0,589.8,1145.0,4912.0,178.2,41.65866,2.0,12.0,11.0,94.0,10.0,95.0,9.0,94.0,16.0,17.0,10.0,93.0,25.929,4.0,1.0,3.0,1760.0,1111.0,2.0,2.8,0.91,3.45,156.0,1.09,2.3,1.2,737.7,1451.0,7733.0,147.7,32.69891,2.0,13.0,12.0,95.0,11.0,96.0,8.0,93.0,73.0,18.0,9.0,92.0,24.869,3.0,0.72,2.03,1383.0,922.0,2.0,3.7,1.17,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2087.0,0.182487,0.166666,2853.0,9.1,151.79,10.05,144.234,3073.0,6.47,143.76,8.89,136.055,1883.0,10.0,217.72,10.62,204.749,7.8348
1,2.32,18.4,1.44,3.35,0.9,502.9,965.0,3546.0,180.0,62.5,2.0,10.0,9.0,92.0,8.0,93.0,11.0,96.0,14.0,15.0,12.0,95.0,28.07,6.0,1.35,3.402,1913.0,983.0,2.0,2.5,0.81,4.05,96.8,1.39,2.4,1.7,867.7,1631.0,3616.0,112.0,51.79072,12.0,19.0,71.0,33.0,70.0,34.0,70.0,34.0,75.0,74.0,71.0,33.0,26.02,5.0,0.95,2.215,1043.0,594.0,12.0,4.1,1.24,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-11267.0,0.1556,0.25,2290.0,17.2,131.0,11.23,124.371,1099.0,13.1,61.9,10.43,54.812,1883.0,10.0,217.72,10.62,204.749,8.4769
2,2.55,190.0,1.25,2.7,1.0,589.8,1145.0,4912.0,178.2,41.65866,2.0,12.0,11.0,94.0,10.0,95.0,9.0,94.0,16.0,17.0,10.0,93.0,25.929,4.0,1.0,3.0,1760.0,1111.0,2.0,2.8,0.91,4.1,116.0,1.25,2.21,1.6,906.4,1733.0,3833.0,130.7,41.65866,12.0,18.0,72.0,34.0,71.0,35.0,69.0,33.0,76.0,75.0,70.0,32.0,25.4,4.0,0.74,1.88,1183.0,693.0,12.0,4.2,1.32,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2087.0,0.182487,0.166666,2853.0,9.1,151.79,10.05,144.234,2248.0,10.43,83.801,9.62,76.64,1883.0,10.0,217.72,10.62,204.749,7.824
3,2.4,49.0,1.39,2.92,1.0,549.5,1064.0,4207.0,164.4,55.0,2.0,11.0,10.0,93.0,9.0,94.0,10.0,95.0,15.0,16.0,11.0,94.0,26.79,5.0,1.18,3.21,1653.0,1043.0,2.0,2.4,0.84,5.1,100.0,0.71,1.14,1.9,758.4,1646.0,3232.0,424.7,30.06122,9.0,69.0,63.0,43.0,62.0,44.0,60.0,42.0,64.0,66.0,61.0,41.0,24.81,4.0,0.745,2.02,3173.0,1768.0,9.0,5.0,1.75,4.55,59.9,1.22,1.99,762.1,1537.0,3302.0,376.6,31.10792,80.0,80.0,24.0,79.0,25.0,79.0,25.0,84.0,83.0,80.0,24.0,23.222,4.0,0.53,1.56,3106.0,1211.0,1.37,-2238.0,0.166414,0.2,2923.0,13.2,141.14,10.76,133.802,2090.0,12.6,57.1,13.2,51.411,1389.0,9.49,138.66,11.99,124.66,8.1616
4,2.4,49.0,1.39,2.92,1.0,549.5,1064.0,4207.0,164.4,55.0,2.0,11.0,10.0,93.0,9.0,94.0,10.0,95.0,15.0,16.0,11.0,94.0,26.79,5.0,1.18,3.21,1653.0,1043.0,2.0,2.4,0.84,4.93,80.2,0.73,1.16,1.8,759.3,1561.0,2957.0,416.3,27.17233,8.0,66.0,60.0,46.0,59.0,47.0,57.0,45.0,61.0,63.0,58.0,44.0,25.1,4.0,0.78,2.11,3273.0,1808.0,8.0,4.5,1.77,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2168.0,0.170018,0.208333,2923.0,13.2,141.14,10.76,133.802,1644.0,14.52,63.3,11.93,58.389,1883.0,10.0,217.72,10.62,204.749,8.108
5,2.4,49.0,1.39,2.92,1.0,549.5,1064.0,4207.0,164.4,55.0,2.0,11.0,10.0,93.0,9.0,94.0,10.0,95.0,15.0,16.0,11.0,94.0,26.79,5.0,1.18,3.21,1653.0,1043.0,2.0,2.4,0.84,3.45,156.0,1.09,2.3,1.2,737.7,1451.0,7733.0,147.7,32.69891,2.0,13.0,12.0,95.0,11.0,96.0,8.0,93.0,73.0,18.0,9.0,92.0,24.869,3.0,0.72,2.03,1383.0,922.0,2.0,3.7,1.17,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2168.0,0.170018,0.208333,2923.0,13.2,141.14,10.76,133.802,3073.0,6.47,143.76,8.89,136.055,1883.0,10.0,217.72,10.62,204.749,8.04
6,2.32,18.4,1.44,3.35,0.9,502.9,965.0,3546.0,180.0,62.5,2.0,10.0,9.0,92.0,8.0,93.0,11.0,96.0,14.0,15.0,12.0,95.0,28.07,6.0,1.35,3.402,1913.0,983.0,2.0,2.5,0.81,4.45,7.82,0.79,1.26,1.5,717.4,1509.0,3248.0,280.7,32.02902,7.0,63.0,57.0,49.0,56.0,50.0,54.0,48.0,60.0,60.0,55.0,47.0,26.32,4.0,0.83,2.22,2373.0,1518.0,7.0,4.1,1.61,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-11267.0,0.1556,0.25,2290.0,17.2,131.0,11.23,124.371,2115.0,14.7,92.4,10.54,86.837,1883.0,10.0,217.72,10.62,204.749,8.31
7,3.2,13.9,1.1,2.29,1.0,547.1,1086.0,2425.0,175.3,77.81,3.0,37.0,29.0,76.0,28.0,77.0,27.0,76.0,18.0,28.0,28.0,75.0,27.66,6.0,1.17,3.94,1713.0,1095.0,3.0,2.5,1.21,4.45,7.82,0.79,1.26,1.5,717.4,1509.0,3248.0,280.7,32.02902,7.0,63.0,57.0,49.0,56.0,50.0,54.0,48.0,60.0,60.0,55.0,47.0,26.32,4.0,0.83,2.22,2373.0,1518.0,7.0,4.1,1.61,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2146.0,0.169275,0.25,2253.0,19.5,141.0,11.67,133.963,2115.0,14.7,92.4,10.54,86.837,1883.0,10.0,217.72,10.62,204.749,8.139
8,2.55,190.0,1.25,2.7,1.0,589.8,1145.0,4912.0,178.2,41.65866,2.0,12.0,11.0,94.0,10.0,95.0,9.0,94.0,16.0,17.0,10.0,93.0,25.929,4.0,1.0,3.0,1760.0,1111.0,2.0,2.8,0.91,5.05,200.0,1.33,1.8,1.5,899.4,1757.0,14848.0,324.3,9.5459,2.0,14.0,13.0,96.0,12.0,97.0,7.0,92.0,77.0,19.0,8.0,91.0,16.44,2.0,0.45,1.08,2750.0,1560.0,2.0,3.9,1.67,4.7,148.0,1.18,1.91,786.5,1577.0,3232.0,455.6,18.9662,90.0,81.0,25.0,80.0,26.0,78.0,24.0,85.0,84.0,79.0,23.0,20.0,3.0,0.4,1.42,2608.0,1683.0,1.5,-2087.0,0.182487,0.166666,2853.0,9.1,151.79,10.05,144.234,2820.0,3.29,145.6,6.11,138.599,1883.0,10.0,217.72,10.62,204.749,7.419
9,2.4,49.0,1.39,2.92,1.0,549.5,1064.0,4207.0,164.4,55.0,2.0,11.0,10.0,93.0,9.0,94.0,10.0,95.0,15.0,16.0,11.0,94.0,26.79,5.0,1.18,3.21,1653.0,1043.0,2.0,2.4,0.84,4.93,80.2,0.73,1.16,1.8,759.3,1561.0,2957.0,416.3,27.17233,8.0,66.0,60.0,46.0,59.0,47.0,57.0,45.0,61.0,63.0,58.0,44.0,25.1,4.0,0.78,2.11,3273.0,1808.0,8.0,4.5,1.77,4.55,59.9,1.22,1.99,762.1,1537.0,3302.0,376.6,31.10792,80.0,80.0,24.0,79.0,25.0,79.0,25.0,84.0,83.0,80.0,24.0,23.222,4.0,0.53,1.56,3106.0,1211.0,1.37,-2238.0,0.166414,0.2,2923.0,13.2,141.14,10.76,133.802,1644.0,14.52,63.3,11.93,58.389,1389.0,9.49,138.66,11.99,124.66,8.25
